,,Allen,D. C.,collector,,,,,naf,indirect
,,Barnett,Leroy,collector,,,,,naf,indirect
,,Blum,Nancy,collector,,,,,naf,indirect
,,Breylinger,Barbe Ballard,collector,,,,,naf,indirect
,,Burt,Flora,collector,,,,,naf,indirect
,,Chaplin,Scott,collector,,,,,naf,indirect
,,Cope,Helen Gibson,collector,,,,,naf,indirect
,,De La Vergne,Earl W.,collector,,,,,naf,indirect
,,Fay,Minnie C. M.,collector,,,,,naf,indirect
,,Foster,Mark,collector,,,,,naf,indirect
,,Frederickson,Randa,collector,,,,,naf,indirect
,,Frisbie,Nora G.,collector,,,,,naf,indirect
,,Harriman,John,collector,,,,,naf,indirect
,,Heath,Alex,collector,,,,,naf,indirect
,,Knowles,Margaret Keal,collector,,,,,naf,indirect
,,Lemmer,Elizabeth,collector,,,,,naf,indirect
,,Leslie,Dale R.,collector,,,,,naf,indirect
,,Loughray,John J.,collector,,,,,naf,indirect
,,Martin,Edward,collector,,,,,naf,indirect
,,Mullett,Martha,collector,,,,,naf,indirect
,,Owen,Norman G.,collector,,,,,naf,indirect
,,Palazzolo,Laurie,collector,,,,,naf,indirect
,,Peters,Kenneth Earl,collector,,,,,naf,indirect
,,Proctor,Hazel,collector,,,,,naf,indirect
,,Shurtleff,Mary Belle,collector,,,,,naf,indirect
,,Sink,Charles A.,collector,,,,,naf,indirect
,,Sturgis,Sam,collector,,,,,naf,indirect
,,Swihart,Leon R.,collector,,,,,naf,indirect
,,Tsao,Makepeace Uho,collector,,,,,naf,indirect
,,Wolfe,Shirley P.,collector,,,,,naf,indirect
,,Blodgett,John W.,Jr,,,,,naf,indirect
,,Cockrel,Kenneth,Jr,,,,,naf,indirect
,,King,Martin Luther,Jr,,,,,naf,indirect
,,Lloyd,William B.,Jr,,,,,naf,indirect
,,Price,William George,Jr,,,,,naf,indirect
,,Riegle,Donald W.,Jr,,,,,naf,indirect
,,Smith,Charles S.,Jr,,Charles Spencer,,,naf,indirect
,,Saint Lusson,Simon François Daumont,"sieur de, fl. 17th cent",,,,,naf,indirect
,Baron,Kessenich,Michiels van,,,,,,naf,indirect
,Madame,Bonnaud,A.,,,,,,naf,indirect
,officer of the,People,Anonymous Association of Suburban,,,,,,naf,indirect
,Princess,,Der Ling,,,,,http://id.loc.gov/authorities/names/n50005213,naf,indirect
,Sir,Gordon,Archibald,,,,,,naf,indirect
Mrs.,,Baker,Frank C.,,,,,,naf,indirect
Mrs.,,Ehlers,John,,,,,,naf,indirect
Mrs.,,Hartzell,Morton C.,,,,,,naf,indirect
Mrs.,,Keeler,Hugh Blenn,,,,,,naf,indirect
